CATEGORY,SUBCATEGORY,NOM,REF,URL_IMAGE,DESCRIPTION,FORMAT,NET SOCOFRA,PUBLIC HT,GARAGE
ACCESSOIRES,,AUTOFLOR 5000 ML AGRUMIX DUAL 4 PCS,P0758,https://doomzyx.github.io/MAFRASHOP-IMG/AUTOFLOR.webp,Composition parfumée aux agrumes. Pour une utilisation dans les habitacles de véhicules et à l'intérieur. Pour les distributeurs de parfums ou de désinfectants dans les stations de lavage auto en libre-service,5000 ml,"12,95","40,46","23,54"
EXTERIEUR,,CAR WASH SHAMPOO e CERA DUAL 1000 ML 6 PCS,H0912,https://doomzyx.github.io/MAFRASHOP-IMG/,"Combinaison unique : associe l'action nettoyante d'un shampoing auto à la protection d'une cire, pour un résultat surprenant. Protection UV et anti-smog : dépose un film de cires synthétiques qui protège la voiture des embruns salés, des rayons UVA, des pluies acides dues au smog et de diverses impuretés. Effet anti-halo : parfait sur les peintures foncées et noires Effet auto-séchant : Écoulement d'eau facile pour un séchage rapide Brillance instantanée : une seule étape pour une propreté et une brillance éclatantes",1000 ml,"2,37","7,40","4,31"
EXTERIEUR,,CARLUX 250 ML 12 PZ,HC041,https://doomzyx.github.io/MAFRASHOP-IMG/carlux.webp,"Protection hydrofuge : crée un bouclier hydrofuge et hydrophobe sur la carrosserie, empêchant la saleté telle que la poussière et les impuretés de se déposer ; Effet « toucher soyeux » pour une surface lisse et soyeuse au toucher ; Réduit le temps de rinçage et de séchage après le lavage ; Brillance et profondeur de couleur accrues : notamment sur les voitures noires Il peut être utilisé sur tout type de peinture Application rapide et facile grâce au coussinet en microfibre Barrière imperméable et anticalcaire pour un rinçage facile Barrière anti-dépôts : laisse glisser la saleté et les polluants, cet effet résiste même à de nombreux lavages répétés.",250 ml,"2,80","8,75","5,09"
INTERIEUR,,CATENOIL SPRAY 500 ML 6 PZ,H0788,https://doomzyx.github.io/MAFRASHOP-IMG/catenoil.webp,"Graisse en aérosol ultra-résistante, super-lubrifiante et hautement adhésive Empêche la formation de rouille Forme un film lubrifiant et hydrofuge ultra-résistant Cela permet aux pièces soumises à des contraintes de fonctionner toujours à leur efficacité maximale. Forte adhérence : ne coule pas et ne sèche pas Empêche la formation de rouille Formule hautement concentrée pour une performance longue durée Crée un film résistant aux vitesses élevées, aux lavages chimiques, aux embruns salés et à la haute pression. Particulièrement adapté aux joints toriques Application rapide grâce au spray prêt à l'emploi",500 ml,"3,74","11,69","6,80"
KIT,,CHARME AUTO LEATHER CARE KIT (VALIGIA),KT017,https://doomzyx.github.io/MAFRASHOP-IMG/kit-charme.webp,"Triple action : hydrate , nourrit, nettoie et revitalise Idéal pour nettoyer les sièges et les housses de sièges en cuir. Redonne vie, éclat et brillance aux intérieurs en cuir usés et décolorés . Action hydratante anti-âge Préserve l'éclat et l'élasticité de la peau Dissout la saleté, même la plus tenace. Convient pour le nettoyage d'entretien du cuir neuf, les traitements intensifs tels qu'une restauration conservatrice ou un nettoyage exceptionnel. Redonne du tonus et de l'éclat aux peaux sèches et gercées au fil du temps. Application facile étape par étape : nettoyer, nourrir et hydrater sans effort Convient à tous les véhicules : voitures, camping-cars et cabriolets Kit comprenant : lessive Charme, soin nutritif Charme, soin hydratant Charme, gant, applicateur, lingette",,"20,84","65,13","37,89"
INTERIEUR,,CHARME DETERGENT AUTO SCHIUMA 150 ML 15 PZ,H0051,https://doomzyx.github.io/MAFRASHOP-IMG/charme150.webp,Formule neutre compatible avec tous les types et toutes les couleurs de peau Des ingrédients naturels à base de plantes pour un nettoyage efficace et doux Il agit en profondeur en dissolvant les saletés les plus tenaces. Effet longue durée pour des intérieurs propres pendant longtemps Convient aux traitements intensifs ou d'entretien,150 ml,"3,70","11,56","6,73"
INTERIEUR,,CHARME HYDRATING AUTO 150 ML 15 PZ,H0053,https://doomzyx.github.io/MAFRASHOP-IMG/charme400.webp,"Hydratation intense : nourrit en profondeur, redonne douceur et brillance aux sièges en cuir Formule naturelle : avec des émulsifiants d'origine naturelle et une forte concentration d'agents hydratants nourrissants. Action anti-âge : combat les gerçures et ralentit les signes du vieillissement. Il est recommandé de répéter le traitement 3 ou 4 fois par an. En été, intensifiez le traitement pour une action anti-UVA plus efficace. Application facile",150 ml,"3,45","10,78","6,27"
INTERIEUR,,CHARME NUTRIENT AUTO CREMA 150 ML 12PZ,H0050,https://doomzyx.github.io/MAFRASHOP-IMG/charm200.webp,"Pouvoir nourrissant maximal contre la sécheresse et les gerçures Redonne à la peau son teint et son éclat naturels. Formule enrichie en agents anti-âge pour une élasticité durable Réduit les signes typiques du vieillissement tels que les rides, la décoloration et le teint terne. L'utilisation régulière du produit contrecarre la détérioration due à l'utilisation quotidienne de la voiture. Application rapide et facile",150 ml,"4,16","12,99","7,56"
EXTERIEUR,,DAYTONA 4500 ML CART. 4 PZ DUAL,P0473,https://doomzyx.github.io/MAFRASHOP-IMG/daytona.webp,"Lave et polit en une seule opération ; Il laisse un film protecteur sur tous types de carrosseries ; Protection et brillance maximales, même sur les voitures qui ne sont pas neuves ; Elle conserve l'éclat des couleurs d'origine au fil du temps.",4500 ml,"9,69","30,28","17,62"
EXTERIEUR,,"DECA FLASH LIQUIDO 4,5 L.",P0499,https://doomzyx.github.io/MAFRASHOP-IMG/decaflash25kg.webp,"Efficacité immédiate : dissout le goudron et la colle en quelques secondes Résultats rapides et sans effort : résultats garantis en quelques secondes. Sûr : Sans danger pour une utilisation sur la peinture, le métal et le verre Élimine définitivement toute trace de goudron ou de colle de la carrosserie, même les résidus les plus tenaces. Prêt à l'emploi : application rapide Formule riche en ingrédients actifs respectueux de l'environnement",4500 ml,"4,75","14,84","8,64"
